ID,FUNCIONARIO,CODIGO BENEFICIO,FUNCAO_ID,INSS,TOTAL_HORAS_ATRASO,MES,YEAR
1,1,2,11,6,29.0,1,2010
2,2,8,7,10,21.0,1,2010
3,3,9,11,9,14.0,1,2010
4,4,8,10,9,29.0,1,2010
5,5,9,10,10,16.0,1,2010
6,6,4,13,4,20.0,1,2010
7,7,6,9,3,17.0,1,2010
8,8,5,10,6,24.0,1,2010
9,9,4,7,4,7.0,1,2010
10,10,1,3,9,5.0,1,2010
11,11,5,3,5,25.0,1,2010
12,12,6,12,9,18.0,1,2010
13,13,2,9,6,25.0,1,2010
14,14,6,16,3,23.0,1,2010
15,15,7,11,5,6.0,1,2010
16,16,9,15,5,17.0,1,2010
17,17,2,8,4,19.0,1,2010
18,18,8,2,3,31.0,1,2010
19,19,4,10,9,28.0,1,2010
20,20,9,2,5,16.0,1,2010
21,21,4,13,9,31.0,1,2010
22,22,9,9,9,21.0,1,2010
23,23,3,7,5,18.0,1,2010
24,24,2,12,7,5.0,1,2010
25,25,1,8,8,25.0,1,2010
26,26,6,3,5,19.0,1,2010
27,27,6,1,7,31.0,1,2010
28,28,7,10,8,6.0,1,2010
29,29,7,14,4,26.0,1,2010
30,30,9,3,5,12.0,1,2010
31,31,8,9,9,28.0,1,2010
32,32,4,4,10,10.0,1,2010
33,33,5,13,7,10.0,1,2010
34,34,2,11,4,15.0,1,2010
35,35,2,13,7,2.0,1,2010
36,36,4,15,10,24.0,1,2010
37,37,3,4,8,25.0,1,2010
38,38,9,16,5,11.0,1,2010
39,39,5,8,3,5.0,1,2010
40,40,7,12,5,18.0,1,2010
41,41,3,8,9,13.0,1,2010
42,42,6,1,6,4.0,1,2010
43,43,1,8,9,3.0,1,2010
44,44,1,5,7,28.0,1,2010
45,45,3,13,3,26.0,1,2010
46,46,9,7,7,24.0,1,2010
47,47,3,2,6,3.0,1,2010
48,48,9,13,7,10.0,1,2010
49,49,9,5,3,22.0,1,2010
50,50,4,11,5,22.0,1,2010
51,1,2,11,9,13.0,2,2010
52,2,8,7,3,12.0,2,2010
53,3,9,11,6,3.0,2,2010
54,4,8,10,6,26.0,2,2010
55,5,9,10,10,3.0,2,2010
56,6,4,13,8,22.0,2,2010
57,7,6,9,7,3.0,2,2010
58,8,5,10,4,5.0,2,2010
59,9,4,7,6,19.0,2,2010
60,10,1,3,4,21.0,2,2010
61,11,5,3,9,23.0,2,2010
62,12,6,12,4,8.0,2,2010
63,13,2,9,7,14.0,2,2010
64,14,6,16,8,29.0,2,2010
65,15,7,11,4,7.0,2,2010
66,16,9,15,6,2.0,2,2010
67,17,2,8,10,24.0,2,2010
68,18,8,2,8,30.0,2,2010
69,19,4,10,8,29.0,2,2010
70,20,9,2,4,12.0,2,2010
71,21,4,13,7,30.0,2,2010
72,22,9,9,4,19.0,2,2010
73,23,3,7,9,7.0,2,2010
74,24,2,12,4,7.0,2,2010
75,25,1,8,3,21.0,2,2010
76,26,6,3,4,22.0,2,2010
77,27,6,1,7,5.0,2,2010
78,28,7,10,10,9.0,2,2010
79,29,7,14,8,23.0,2,2010
80,30,9,3,10,18.0,2,2010
81,31,8,9,6,27.0,2,2010
82,32,4,4,3,29.0,2,2010
83,33,5,13,5,10.0,2,2010
84,34,2,11,8,4.0,2,2010
85,35,2,13,6,4.0,2,2010
86,36,4,15,10,11.0,2,2010
87,37,3,4,6,30.0,2,2010
88,38,9,16,9,19.0,2,2010
89,39,5,8,10,26.0,2,2010
90,40,7,12,9,25.0,2,2010
91,41,3,8,9,17.0,2,2010
92,42,6,1,3,13.0,2,2010
93,43,1,8,7,26.0,2,2010
94,44,1,5,10,19.0,2,2010
95,45,3,13,3,21.0,2,2010
96,46,9,7,6,29.0,2,2010
97,47,3,2,10,25.0,2,2010
98,48,9,13,9,28.0,2,2010
99,49,9,5,4,25.0,2,2010
100,50,4,11,8,9.0,2,2010
101,1,2,11,4,2.0,3,2010
102,2,8,7,4,30.0,3,2010
103,3,9,11,3,25.0,3,2010
104,4,8,10,7,28.0,3,2010
105,5,9,10,9,7.0,3,2010
106,6,4,13,3,29.0,3,2010
107,7,6,9,7,8.0,3,2010
108,8,5,10,7,14.0,3,2010
109,9,4,7,3,10.0,3,2010
110,10,1,3,4,21.0,3,2010
111,11,5,3,5,6.0,3,2010
112,12,6,12,4,7.0,3,2010
113,13,2,9,5,29.0,3,2010
114,14,6,16,9,9.0,3,2010
115,15,7,11,4,6.0,3,2010
116,16,9,15,7,20.0,3,2010
117,17,2,8,4,19.0,3,2010
118,18,8,2,9,8.0,3,2010
119,19,4,10,4,27.0,3,2010
120,20,9,2,4,8.0,3,2010
121,21,4,13,7,5.0,3,2010
122,22,9,9,5,5.0,3,2010
123,23,3,7,6,9.0,3,2010
124,24,2,12,10,3.0,3,2010
125,25,1,8,9,28.0,3,2010
126,26,6,3,3,15.0,3,2010
127,27,6,1,6,31.0,3,2010
128,28,7,10,3,7.0,3,2010
129,29,7,14,7,27.0,3,2010
130,30,9,3,5,25.0,3,2010
131,31,8,9,7,2.0,3,2010
