CURSO_ID,CURSO_NOME
1,Técnico em enfermagem,1
2,Técnico em eletroeletrônica,1
3,Técnico em informática,1
4,Análise e Desenvolvimento de Sistemas,2
5,Administração,2
6,Agronegócio,2
7,Biologia,2
8,Medicina,2
9,Arquitetura e Design,3
10,Ciências Contábeis,3
11,MBA Agronegócio,3
12,Gestão Financeira,3
13,Técnico em enfermagem,1
14,Técnico em eletroeletrônica,1
15,Técnico em informática,1
16,Análise e Desenvolvimento de Sistemas,2
17,Administração,2
18,Agronegócio,2
19,Biologia,2
20,Medicina,2
21,Arquitetura e Design,3
22,Ciências Contábeis,3
23,MBA Agronegócio,3
24,Gestão Financeira,3
25,Técnico em enfermagem,1
26,Técnico em eletroeletrônica,1
27,Técnico em informática,1
28,Análise e Desenvolvimento de Sistemas,2
29,Administração,2
30,Agronegócio,2
31,Biologia,2
32,Medicina,2
33,Arquitetura e Design,3
34,Ciências Contábeis,3
35,MBA Agronegócio,3
36,Gestão Financeira,3
37,Técnico em enfermagem,1
38,Técnico em eletroeletrônica,1
39,Técnico em informática,1
40,Análise e Desenvolvimento de Sistemas,2
41,Administração,2
42,Agronegócio,2
43,Biologia,2
44,Medicina,2
45,Arquitetura e Design,3
46,Ciências Contábeis,3
47,MBA Agronegócio,3
48,Gestão Financeira,3
