DISCIPLINA_ID,DISCIPLINA_NOME
1,Administração,1
2,Ergonomia,1
3,Técnicas de enfermagem,1
4,Comandos elétricos,2
5,CLP,2
6,Eletrônica Digital,2
7,Lógica de programação,3
8,Orientação a Objetos,3
9,Programação com Java,3
10,Programação com Python,3
11,Engenharia de software,4
12,Banco de dados,4
13,Projetos de software,4
14,Testes de sistemas,4
15,Negócios empresariais,5
16,Excel avançado,5
17,Startup de sucesso,5
18,Cálculos com R,6
19,Análise de elementos da lavoura,6
20,Cálculo para negócios,7
21,Geração de relatórios empresariais,7
