MEDIA_ID,ALUNO_ID,CURSO_ID,DISCIPLINA_ID
1,1,1,1
2,2,4,11
3,3,6,18
4,4,4,11
5,5,2,4
6,6,4,11
7,7,6,18
8,8,1,1
9,9,2,4
10,10,1,1
11,11,6,18
12,12,6,18
13,13,2,4
14,14,5,15
15,15,1,1
16,16,6,18
17,17,1,1
18,18,2,4
19,19,2,4
20,20,4,11
21,21,4,11
22,22,6,18
23,23,6,18
24,24,5,15
25,25,3,7
26,26,4,11
27,27,6,18
28,28,3,7
29,29,4,11
30,30,6,18
31,31,1,1
32,32,3,7
33,33,4,11
34,34,2,4
35,35,1,1
36,36,3,7
37,37,2,4
38,38,6,18
39,39,2,4
40,40,4,11
41,41,5,15
42,42,4,11
43,43,6,18
44,44,1,1
45,45,1,1
46,46,1,1
47,47,4,11
48,48,1,1
49,49,6,18
50,50,4,11
