NOTA_ID;ALUNO_ID;ATIVIDADE_ID;NOTA
1;1;1;8
2;1;2;0
3;1;3;1
4;1;4;4
5;1;5;0
6;1;6;3
7;1;7;3
8;1;8;3
9;1;9;1
10;1;10;0
11;1;11;4
12;1;12;0
13;1;13;4
14;1;14;0
15;1;15;2
16;1;16;2
17;1;17;0
18;1;18;1
19;1;19;7
20;1;20;5
21;1;21;5
22;1;22;4
23;1;23;3
24;2;1;1
25;2;2;4
26;2;3;9
27;2;4;3
28;2;5;0
29;2;6;3
30;2;7;6
31;2;8;3
32;2;9;0
33;2;10;5
34;2;11;2
35;2;12;0
36;2;13;0
37;2;14;6
38;2;15;2
39;2;16;4
40;2;17;3
41;2;18;0
42;2;19;5
43;2;20;4
44;2;21;2
45;2;22;2
46;2;23;0
47;3;1;4
48;3;2;5
49;3;3;8
50;3;4;3
51;3;5;6
52;3;6;2
53;3;7;6
54;3;8;0
55;3;9;2
56;3;10;2
57;3;11;0
58;3;12;0
59;3;13;5
60;3;14;5
61;3;15;0
62;3;16;6
63;3;17;0
64;3;18;6
65;3;19;5
66;3;20;5
67;3;21;3
68;3;22;1
69;3;23;5
70;4;1;1
71;4;2;1
72;4;3;8
73;4;4;4
74;4;5;2
75;4;6;2
76;4;7;7
77;4;8;4
78;4;9;0
79;4;10;0
80;4;11;1
81;4;12;4
82;4;13;0
83;4;14;5
84;4;15;3
85;4;16;0
86;4;17;3
87;4;18;3
88;4;19;3
89;4;20;7
90;4;21;2
91;4;22;5
92;4;23;8
93;5;1;5
94;5;2;6
95;5;3;7
96;5;4;0
97;5;5;0
98;5;6;0
99;5;7;0
100;5;8;0
101;5;9;0
102;5;10;1
103;5;11;0
104;5;12;1
105;5;13;0
106;5;14;3
107;5;15;4
108;5;16;8
109;5;17;5
110;5;18;0
111;5;19;1
112;5;20;8
113;5;21;4
114;5;22;4
115;5;23;5
116;6;1;4
117;6;2;5
118;6;3;7
119;6;4;3
120;6;5;3
121;6;6;0
122;6;7;5
123;6;8;1
124;6;9;0
125;6;10;4
126;6;11;4
127;6;12;2
128;6;13;5
129;6;14;1
130;6;15;0
131;6;16;8
132;6;17;2
133;6;18;4
134;6;19;6
135;6;20;4
136;6;21;1
137;6;22;5
138;6;23;9
139;7;1;4
140;7;2;5
141;7;3;9
142;7;4;2
143;7;5;2
144;7;6;0
145;7;7;5
146;7;8;4
147;7;9;3
148;7;10;2
149;7;11;2
150;7;12;1
151;7;13;4
152;7;14;7
153;7;15;5
154;7;16;4
155;7;17;4
156;7;18;7
157;7;19;4
158;7;20;3
159;7;21;0
160;7;22;6
161;7;23;0
162;8;1;2
163;8;2;0
164;8;3;4
165;8;4;0
166;8;5;2
167;8;6;3
168;8;7;0
169;8;8;2
170;8;9;2
171;8;10;5
172;8;11;1
173;8;12;2
174;8;13;2
175;8;14;7
176;8;15;5
177;8;16;7
178;8;17;3
179;8;18;4
180;8;19;1
181;8;20;2
182;8;21;1
183;8;22;6
184;8;23;8
185;9;1;0
186;9;2;6
187;9;3;1
188;9;4;2
189;9;5;1
190;9;6;0
191;9;7;8
192;9;8;1
193;9;9;3
194;9;10;3
195;9;11;3
196;9;12;3
197;9;13;2
198;9;14;0
199;9;15;0
200;9;16;2
201;9;17;5
202;9;18;2
203;9;19;3
204;9;20;3
205;9;21;4
206;9;22;0
207;9;23;5
208;10;1;7
209;10;2;1
210;10;3;3
211;10;4;3
212;10;5;5
213;10;6;0
214;10;7;9
215;10;8;4
216;10;9;0
217;10;10;2
218;10;11;4
219;10;12;3
220;10;13;3
221;10;14;1
222;10;15;5
223;10;16;2
224;10;17;1
225;10;18;3
226;10;19;7
227;10;20;2
228;10;21;6
229;10;22;2
230;10;23;3
231;11;1;1
232;11;2;3
233;11;3;0
234;11;4;3
235;11;5;3
236;11;6;0
237;11;7;4
238;11;8;0
239;11;9;0
240;11;10;0
241;11;11;1
242;11;12;1
243;11;13;5
244;11;14;2
245;11;15;2
246;11;16;8
247;11;17;0
248;11;18;0
249;11;19;7
250;11;20;9
251;11;21;6
252;11;22;4
253;11;23;4
254;12;1;3
255;12;2;0
256;12;3;3
257;12;4;4
258;12;5;2
259;12;6;2
260;12;7;5
261;12;8;3
262;12;9;2
263;12;10;5
264;12;11;2
265;12;12;2
266;12;13;6
267;12;14;5
268;12;15;2
269;12;16;1
270;12;17;3
271;12;18;7
272;12;19;5
273;12;20;7
274;12;21;7
275;12;22;6
276;12;23;0
277;13;1;9
278;13;2;5
279;13;3;3
280;13;4;1
281;13;5;4
282;13;6;3
283;13;7;5
284;13;8;1
285;13;9;1
286;13;10;4
287;13;11;4
288;13;12;3
289;13;13;3
290;13;14;6
291;13;15;1
292;13;16;7
293;13;17;0
294;13;18;7
295;13;19;2
296;13;20;7
297;13;21;0
298;13;22;2
299;13;23;10
300;14;1;6
301;14;2;2
302;14;3;6
303;14;4;4
304;14;5;0
305;14;6;1
306;14;7;5
307;14;8;4
308;14;9;1
309;14;10;1
310;14;11;1
311;14;12;3
312;14;13;2
313;14;14;4
314;14;15;5
315;14;16;0
316;14;17;2
317;14;18;6
318;14;19;6
319;14;20;5
320;14;21;3
321;14;22;6
322;14;23;0
