ATIVIDADE_NOTA_ID,ALUNO_ID,DISCIPLINA_ID,NOTA,PESO
1,1,7,9.0,4
2,2,1,1.0,2
3,3,18,9.0,2
4,4,15,6.0,2
5,5,15,6.0,1
6,6,11,2.0,3
7,7,4,1.0,2
8,8,7,9.0,3
9,9,4,8.0,2
10,10,4,9.0,4
11,11,1,9.0,3
12,12,1,0.0,3
13,13,1,5.0,1
14,14,18,2.0,2
15,15,7,0.0,3
16,16,1,0.0,1
17,17,18,6.0,3
18,18,7,9.0,1
19,19,7,4.0,2
20,20,4,0.0,3
21,21,11,6.0,2
22,22,1,5.0,3
23,23,1,8.0,2
24,24,7,7.0,2
25,25,7,6.0,2
26,26,1,1.0,2
27,27,15,8.0,3
28,28,11,1.0,1
29,29,11,6.0,2
30,30,18,7.0,2
31,31,18,6.0,2
32,32,4,9.0,3
33,33,18,7.0,4
34,34,11,7.0,1
35,35,7,9.0,3
36,36,7,4.0,1
37,37,18,4.0,1
38,38,15,3.0,3
39,39,7,7.0,3
40,40,4,1.0,4
41,41,18,3.0,3
42,42,11,6.0,2
43,43,18,2.0,1
44,44,4,5.0,3
45,45,4,8.0,3
46,46,7,4.0,2
47,47,18,2.0,3
48,48,4,1.0,3
49,49,4,2.0,1
50,50,11,4.0,3
