ATIVIDADE_ID;ATIVIDADE_DESCRIÇÃO;DISCIPLINA;NOTA_MAXIMA
1;Resolver algoritimo viagem;1;9
2;Resolver algoritimo salario;1;6
3;Resolver algoritimo tempo;1;9
4;Resolver algoritimo números primos;1;5
5;Design responsivo;2;7
6;Desenvolvendo site para loja;2;3
7;Desenvolvendo site blog;2;9
8;Criando bons estilos css;2;4
9;Arquitetura SO;3;3
10;Usuários e grupos;3;5
11;Instalando SO;3;4
12;Criando classes;4;4
13;Herança;4;6
14;Interfaces;4;7
15;Arquitetura de API Rest;5;5
16;Arquitetura Moderna de Backend;5;8
17;API para loja;5;5
18;Criando componentes com Angular;6;7
19;Frontend moderno;6;8
20;Componentizando site;6;9
21;APP abastece;7;8
22;APP todolist;7;6
23;APP agenda;7;10
