NOTA_ID;ALUNO;ATIVIDADE;NOTA
1;1;1;9
2;1;2;7
3;1;3;8
4;1;4;9
5;1;5;10
6;1;6;10
7;1;7;8
8;1;8;8
9;1;9;10
10;1;10;4
11;1;11;9
12;1;12;9
13;1;13;8
14;1;14;7
15;1;15;8
16;1;16;8
17;1;17;5
18;1;18;6
19;1;19;10
20;1;20;7
21;1;21;5
22;1;22;8
23;1;23;7
24;2;1;6
25;2;2;8
26;2;3;8
27;2;4;4
28;2;5;6
29;2;6;7
30;2;7;8
31;2;8;8
32;2;9;5
33;2;10;4
34;2;11;6
35;2;12;6
36;2;13;6
37;2;14;9
38;2;15;8
39;2;16;6
40;2;17;7
41;2;18;8
42;2;19;9
43;2;20;6
44;2;21;6
45;2;22;5
46;2;23;6
47;3;1;8
48;3;2;10
49;3;3;10
50;3;4;10
51;3;5;8
52;3;6;5
53;3;7;8
54;3;8;9
55;3;9;9
56;3;10;8
57;3;11;4
58;3;12;6
59;3;13;9
60;3;14;4
61;3;15;10
62;3;16;4
63;3;17;7
64;3;18;6
65;3;19;4
66;3;20;5
67;3;21;6
68;3;22;4
69;3;23;4
70;4;1;7
71;4;2;10
72;4;3;5
73;4;4;8
74;4;5;4
75;4;6;10
76;4;7;4
77;4;8;5
78;4;9;4
79;4;10;8
80;4;11;8
81;4;12;9
82;4;13;5
83;4;14;8
84;4;15;6
85;4;16;9
86;4;17;4
87;4;18;7
88;4;19;10
89;4;20;6
90;4;21;10
91;4;22;6
92;4;23;5
93;5;1;7
94;5;2;9
95;5;3;6
96;5;4;8
97;5;5;4
98;5;6;9
99;5;7;4
100;5;8;9
101;5;9;9
102;5;10;8
103;5;11;10
104;5;12;10
105;5;13;8
106;5;14;9
107;5;15;5
108;5;16;7
109;5;17;5
110;5;18;8
111;5;19;4
112;5;20;5
113;5;21;9
114;5;22;10
115;5;23;9
116;6;1;8
117;6;2;5
118;6;3;7
119;6;4;5
120;6;5;4
121;6;6;7
122;6;7;8
123;6;8;6
124;6;9;7
125;6;10;7
126;6;11;8
127;6;12;9
128;6;13;5
129;6;14;6
130;6;15;5
131;6;16;5
132;6;17;9
133;6;18;7
134;6;19;5
135;6;20;9
136;6;21;5
137;6;22;4
138;6;23;9
139;7;1;8
140;7;2;10
141;7;3;10
142;7;4;5
143;7;5;10
144;7;6;10
145;7;7;7
146;7;8;9
147;7;9;10
148;7;10;4
149;7;11;6
150;7;12;9
151;7;13;7
152;7;14;4
153;7;15;5
154;7;16;10
155;7;17;7
156;7;18;4
157;7;19;6
158;7;20;9
159;7;21;5
160;7;22;10
161;7;23;7
162;8;1;7
163;8;2;7
164;8;3;4
165;8;4;4
166;8;5;4
167;8;6;8
168;8;7;10
169;8;8;10
170;8;9;4
171;8;10;5
172;8;11;8
173;8;12;6
174;8;13;4
175;8;14;5
176;8;15;4
177;8;16;10
178;8;17;5
179;8;18;7
180;8;19;9
181;8;20;9
182;8;21;6
183;8;22;7
184;8;23;10
185;9;1;6
186;9;2;5
187;9;3;10
188;9;4;6
189;9;5;5
190;9;6;10
191;9;7;4
192;9;8;9
193;9;9;8
194;9;10;5
195;9;11;8
196;9;12;5
197;9;13;9
198;9;14;5
199;9;15;10
200;9;16;6
201;9;17;6
202;9;18;6
203;9;19;4
204;9;20;5
205;9;21;6
206;9;22;5
207;9;23;5
208;10;1;8
209;10;2;7
210;10;3;6
211;10;4;9
212;10;5;8
213;10;6;6
214;10;7;4
215;10;8;8
216;10;9;5
217;10;10;7
218;10;11;5
219;10;12;8
220;10;13;6
221;10;14;10
222;10;15;4
223;10;16;10
224;10;17;9
225;10;18;6
226;10;19;4
227;10;20;8
228;10;21;4
229;10;22;6
230;10;23;6
231;11;1;7
232;11;2;5
233;11;3;4
234;11;4;5
235;11;5;6
236;11;6;6
237;11;7;5
238;11;8;9
239;11;9;8
240;11;10;6
241;11;11;4
242;11;12;9
243;11;13;5
244;11;14;5
245;11;15;9
246;11;16;4
247;11;17;7
248;11;18;10
249;11;19;10
250;11;20;4
251;11;21;6
252;11;22;10
253;11;23;6
254;12;1;5
255;12;2;6
256;12;3;5
257;12;4;8
258;12;5;4
259;12;6;10
260;12;7;5
261;12;8;7
262;12;9;6
263;12;10;10
264;12;11;5
265;12;12;6
266;12;13;7
267;12;14;5
268;12;15;6
269;12;16;10
270;12;17;5
271;12;18;8
272;12;19;4
273;12;20;9
274;12;21;5
275;12;22;9
276;12;23;8
277;13;1;4
278;13;2;6
279;13;3;6
280;13;4;7
281;13;5;7
282;13;6;4
283;13;7;10
284;13;8;8
285;13;9;5
286;13;10;4
287;13;11;8
288;13;12;7
289;13;13;6
290;13;14;10
291;13;15;8
292;13;16;10
293;13;17;7
294;13;18;6
295;13;19;5
296;13;20;9
297;13;21;10
298;13;22;5
299;13;23;10
300;14;1;8
301;14;2;9
302;14;3;4
303;14;4;9
304;14;5;5
305;14;6;8
306;14;7;7
307;14;8;5
308;14;9;5
309;14;10;10
310;14;11;6
311;14;12;5
312;14;13;7
313;14;14;6
314;14;15;4
315;14;16;6
316;14;17;8
317;14;18;5
318;14;19;5
319;14;20;6
320;14;21;8
321;14;22;5
322;14;23;8
323;15;1;4
324;15;2;5
325;15;3;7
326;15;4;7
327;15;5;4
328;15;6;8
329;15;7;6
330;15;8;8
331;15;9;10
332;15;10;4
333;15;11;9
334;15;12;6
335;15;13;5
336;15;14;9
337;15;15;7
338;15;16;10
339;15;17;6
340;15;18;6
341;15;19;9
342;15;20;7
343;15;21;6
344;15;22;9
345;15;23;9
346;16;1;7
347;16;2;10
348;16;3;8
349;16;4;4
350;16;5;5
351;16;6;10
352;16;7;6
353;16;8;10
354;16;9;4
355;16;10;7
356;16;11;8
357;16;12;10
358;16;13;5
359;16;14;7
360;16;15;10
361;16;16;10
362;16;17;4
363;16;18;8
364;16;19;5
365;16;20;5
366;16;21;8
367;16;22;6
368;16;23;8
369;17;1;7
370;17;2;7
371;17;3;7
372;17;4;6
373;17;5;10
374;17;6;4
375;17;7;9
376;17;8;5
377;17;9;4
378;17;10;9
379;17;11;7
380;17;12;7
381;17;13;8
382;17;14;10
383;17;15;4
384;17;16;10
385;17;17;9
386;17;18;9
387;17;19;6
388;17;20;7
389;17;21;8
390;17;22;4
391;17;23;8
392;18;1;9
393;18;2;5
394;18;3;5
395;18;4;10
396;18;5;4
397;18;6;6
398;18;7;5
399;18;8;4
400;18;9;4
401;18;10;4
402;18;11;9
403;18;12;10
404;18;13;10
405;18;14;7
406;18;15;9
407;18;16;7
408;18;17;4
409;18;18;10
410;18;19;8
411;18;20;5
412;18;21;5
413;18;22;4
414;18;23;6
415;19;1;6
416;19;2;8
417;19;3;6
418;19;4;8
419;19;5;10
420;19;6;9
421;19;7;6
422;19;8;5
423;19;9;8
424;19;10;8
425;19;11;4
426;19;12;10
427;19;13;10
428;19;14;7
429;19;15;10
430;19;16;8
431;19;17;9
432;19;18;8
433;19;19;6
434;19;20;5
435;19;21;6
436;19;22;10
437;19;23;10
438;20;1;7
439;20;2;10
440;20;3;8
441;20;4;4
442;20;5;4
443;20;6;7
444;20;7;6
445;20;8;9
446;20;9;5
447;20;10;5
448;20;11;7
449;20;12;8
450;20;13;4
451;20;14;5
452;20;15;9
453;20;16;4
454;20;17;4
455;20;18;8
456;20;19;7
457;20;20;10
458;20;21;5
459;20;22;6
460;20;23;4
461;21;1;6
462;21;2;6
463;21;3;6
464;21;4;8
465;21;5;9
466;21;6;10
467;21;7;5
468;21;8;10
469;21;9;6
470;21;10;8
471;21;11;7
472;21;12;7
473;21;13;8
474;21;14;9
475;21;15;4
476;21;16;5
477;21;17;10
478;21;18;10
479;21;19;5
480;21;20;10
481;21;21;6
482;21;22;10
483;21;23;6
484;22;1;10
485;22;2;7
486;22;3;5
487;22;4;10
488;22;5;8
489;22;6;4
490;22;7;10
491;22;8;10
492;22;9;8
493;22;10;9
494;22;11;4
495;22;12;6
496;22;13;4
497;22;14;5
498;22;15;4
499;22;16;7
500;22;17;5
501;22;18;5
502;22;19;6
503;22;20;7
504;22;21;6
505;22;22;4
506;22;23;8
507;23;1;8
508;23;2;7
509;23;3;10
510;23;4;6
511;23;5;9
512;23;6;6
513;23;7;7
514;23;8;10
515;23;9;10
516;23;10;7
517;23;11;4
518;23;12;9
519;23;13;8
520;23;14;9
521;23;15;8
522;23;16;7
523;23;17;4
524;23;18;7
525;23;19;6
526;23;20;9
527;23;21;5
528;23;22;10
529;23;23;7
530;24;1;8
531;24;2;8
532;24;3;9
533;24;4;6
534;24;5;9
535;24;6;10
536;24;7;10
537;24;8;10
538;24;9;6
539;24;10;7
540;24;11;6
541;24;12;9
542;24;13;9
543;24;14;6
544;24;15;5
545;24;16;5
546;24;17;9
547;24;18;9
548;24;19;8
549;24;20;5
550;24;21;8
551;24;22;6
552;24;23;9
553;25;1;10
554;25;2;9
555;25;3;4
556;25;4;9
557;25;5;7
558;25;6;8
559;25;7;8
560;25;8;10
561;25;9;5
562;25;10;5
563;25;11;6
564;25;12;10
565;25;13;5
566;25;14;9
567;25;15;9
568;25;16;10
569;25;17;8
570;25;18;6
571;25;19;6
572;25;20;7
573;25;21;7
574;25;22;10
575;25;23;6
576;26;1;10
577;26;2;4
578;26;3;8
579;26;4;7
580;26;5;6
581;26;6;5
582;26;7;6
583;26;8;6
584;26;9;7
585;26;10;6
586;26;11;8
587;26;12;6
588;26;13;5
589;26;14;6
590;26;15;8
591;26;16;7
592;26;17;5
593;26;18;5
594;26;19;10
595;26;20;9
596;26;21;10
597;26;22;8
598;26;23;9
599;27;1;5
600;27;2;5
601;27;3;9
602;27;4;9
603;27;5;6
604;27;6;4
605;27;7;10
606;27;8;6
607;27;9;7
608;27;10;8
609;27;11;8
610;27;12;8
611;27;13;6
612;27;14;5
613;27;15;10
614;27;16;7
615;27;17;9
616;27;18;7
617;27;19;6
618;27;20;9
619;27;21;8
620;27;22;5
621;27;23;7
622;28;1;4
623;28;2;10
624;28;3;5
625;28;4;4
626;28;5;7
627;28;6;6
628;28;7;5
629;28;8;4
630;28;9;6
631;28;10;6
632;28;11;8
633;28;12;10
634;28;13;5
635;28;14;6
636;28;15;4
637;28;16;9
638;28;17;8
639;28;18;6
640;28;19;8
641;28;20;6
642;28;21;5
643;28;22;5
644;28;23;4
645;29;1;4
646;29;2;4
647;29;3;10
648;29;4;10
649;29;5;5
650;29;6;4
651;29;7;4
652;29;8;5
653;29;9;5
654;29;10;4
655;29;11;4
656;29;12;5
657;29;13;6
658;29;14;9
659;29;15;10
660;29;16;10
661;29;17;6
662;29;18;5
663;29;19;6
664;29;20;5
665;29;21;10
666;29;22;10
667;29;23;7
668;30;1;5
669;30;2;8
670;30;3;5
671;30;4;8
672;30;5;4
673;30;6;4
674;30;7;8
675;30;8;9
676;30;9;5
677;30;10;4
678;30;11;8
679;30;12;5
680;30;13;7
681;30;14;8
682;30;15;6
683;30;16;9
684;30;17;8
685;30;18;8
686;30;19;7
687;30;20;8
688;30;21;5
689;30;22;8
690;30;23;9
691;31;1;9
692;31;2;5
693;31;3;8
694;31;4;6
695;31;5;9
696;31;6;7
697;31;7;4
698;31;8;8
699;31;9;7
700;31;10;5
701;31;11;8
702;31;12;8
703;31;13;4
704;31;14;7
705;31;15;4
706;31;16;6
707;31;17;7
708;31;18;10
709;31;19;8
710;31;20;8
711;31;21;8
712;31;22;5
713;31;23;4
714;32;1;8
715;32;2;10
716;32;3;10
717;32;4;5
718;32;5;7
719;32;6;7
720;32;7;8
721;32;8;5
722;32;9;7
723;32;10;8
724;32;11;7
725;32;12;9
726;32;13;5
727;32;14;6
728;32;15;5
729;32;16;5
730;32;17;9
731;32;18;5
732;32;19;6
733;32;20;6
734;32;21;7
735;32;22;6
736;32;23;8
737;33;1;9
738;33;2;6
739;33;3;8
740;33;4;6
741;33;5;8
742;33;6;7
743;33;7;9
744;33;8;8
745;33;9;4
746;33;10;4
747;33;11;5
748;33;12;4
749;33;13;6
750;33;14;6
751;33;15;8
752;33;16;4
753;33;17;9
754;33;18;7
755;33;19;4
756;33;20;9
757;33;21;8
758;33;22;4
759;33;23;8
760;34;1;4
761;34;2;5
762;34;3;8
763;34;4;7
764;34;5;9
765;34;6;8
766;34;7;5
767;34;8;9
768;34;9;10
769;34;10;7
770;34;11;5
771;34;12;6
772;34;13;10
773;34;14;10
774;34;15;9
775;34;16;4
776;34;17;8
777;34;18;8
778;34;19;4
779;34;20;10
780;34;21;9
781;34;22;4
782;34;23;9
783;35;1;6
784;35;2;7
785;35;3;8
786;35;4;8
787;35;5;9
788;35;6;5
789;35;7;10
790;35;8;4
791;35;9;6
792;35;10;10
793;35;11;5
794;35;12;6
795;35;13;4
796;35;14;4
797;35;15;8
798;35;16;6
799;35;17;8
800;35;18;6
801;35;19;4
802;35;20;7
803;35;21;10
804;35;22;9
805;35;23;4
806;36;1;10
807;36;2;6
808;36;3;5
809;36;4;4
810;36;5;7
811;36;6;9
812;36;7;5
813;36;8;4
814;36;9;7
815;36;10;9
816;36;11;6
817;36;12;5
818;36;13;9
819;36;14;9
820;36;15;7
821;36;16;4
822;36;17;7
823;36;18;4
824;36;19;6
825;36;20;8
826;36;21;7
827;36;22;9
828;36;23;8
829;37;1;6
830;37;2;4
831;37;3;7
832;37;4;8
833;37;5;9
834;37;6;4
835;37;7;8
836;37;8;10
837;37;9;10
838;37;10;9
839;37;11;6
840;37;12;9
841;37;13;9
842;37;14;4
843;37;15;10
844;37;16;4
845;37;17;9
846;37;18;6
847;37;19;10
