PRODUTO_ID,PRODUTO_NOME,PRODUTO_CATEGORIA
1,Xiaomi Redmi Note 12,Smartphone
2,Motorola Edge 30 Pro 5G,Smartphone
3,Xiaomi Poco X5,Smartphone
4,Apple iPhone 13,Smartphone
5,Samsung Galaxy A54,Smartphone
6,Motorola Edge 30 Fusion 5G,Smartphone
7,Xiaomi Redmi 12C,Smartphone
8,Apple iPhone 11,Smartphone
9,Samsung Galaxy S21,Smartphone
10,Motorola Edge 30 Neo 5G,Smartphone
11,Apple iPhone 14,Smartphone
12,Motorola Moto G73 5G,Smartphone
13,Xiaomi Poco X5,Smartphone
14,Motorola Edge 30 Ultra 5G,Smartphone
15,MacBook Air M1,Notebook
16,Acer Aspire 5 – A515-45-R4ZF,Notebook
17,Samsung Book Core I5-1135G7,Notebook
18,Acer Aspire 5 A515-56-32PG,Notebook
19,Lenovo IdeaPad 3i I5-1135G7,Notebook
20,Lenovo IdeaPad Flex 5i I5-1235U,Notebook
21,Lenovo IdeaPad Flex 5i I7-1255U,Notebook
22,MacBook Air M2,Notebook
23,Lenovo Ultrafino IdeaPad 3 Ryzen 5 5500U,Notebook
