PEDIDO_ID,PEDIDO_DATA,COD CLIENTE,COD_VENDEDOR,COD PRODUTO,QUANTIDADE PRODUTO,VALOR PRODUTO
1,18/06/2019,345,136,23,2,4.27
2,31/07/2017,322,32,17,3,4.719
3,27/09/2016,429,182,12,1,1.899
4,24/01/2016,191,118,14,2,3.519
5,28/03/2017,485,238,5,2,1.229
6,24/12/2019,467,188,14,2,3.519
7,14/05/2017,234,18,2,2,2.789
8,18/02/2020,339,20,22,3,8.279
9,20/10/2020,299,10,20,3,5.119
10,14/04/2018,264,68,18,2,4.561
11,27/11/2017,91,167,12,1,1.899
12,30/09/2020,383,69,2,3,2.789
13,15/04/2015,37,257,16,3,5.109
14,02/11/2016,385,246,11,2,2.789
15,13/07/2015,316,50,21,3,6.119
16,18/07/2018,328,40,12,4,1.899
17,15/09/2016,99,199,16,1,5.109
18,11/05/2020,278,236,22,3,8.279
19,23/12/2016,91,149,9,3,2.319
20,25/11/2015,491,74,6,4,1.589
21,04/05/2015,406,243,19,3,4.879
22,10/05/2019,248,299,20,3,5.119
23,06/12/2018,108,11,22,2,8.279
24,19/11/2018,435,37,18,4,4.561
25,18/08/2018,140,100,22,4,8.279
26,14/07/2020,184,283,7,2,2.919
27,08/12/2017,154,34,22,4,8.279
28,29/01/2018,379,205,2,1,2.789
29,18/04/2016,319,9,3,4,4.269
30,24/07/2015,286,64,17,2,4.719
31,21/09/2015,8,135,19,1,4.879
32,22/05/2018,493,283,8,3,5.389
33,04/01/2017,351,204,8,4,5.389
34,12/09/2019,311,49,22,3,8.279
35,23/05/2018,146,148,16,4,5.109
36,29/12/2020,439,296,13,4,3.279
37,02/10/2020,125,196,23,4,4.27
38,05/06/2017,385,195,8,1,5.389
39,05/10/2018,153,9,21,2,6.119
40,15/08/2015,376,216,4,3,4.149
41,18/07/2015,267,213,21,2,6.119
42,04/08/2019,146,130,21,2,6.119
43,22/12/2019,50,299,6,4,1.589
44,21/03/2019,392,137,21,1,6.119
45,06/07/2015,331,101,6,3,1.589
46,05/05/2020,2,20,20,1,5.119
47,07/11/2019,441,128,22,4,8.279
48,09/02/2018,401,235,4,3,4.149
49,05/04/2020,441,135,3,3,4.269
50,24/12/2019,470,226,16,4,5.109
51,13/10/2015,324,276,13,4,3.279
52,08/05/2019,470,21,21,1,6.119
53,25/08/2015,376,77,21,1,6.119
54,28/11/2017,294,296,6,2,1.589
55,31/07/2020,104,237,11,4,2.789
56,25/02/2016,404,101,19,1,4.879
57,20/07/2018,99,150,22,1,8.279
58,08/06/2016,352,142,2,2,2.789
59,12/03/2017,197,47,23,1,4.27
60,31/12/2015,445,270,2,4,2.789
61,24/01/2017,114,261,4,4,4.149
62,19/11/2015,63,286,7,2,2.919
63,31/01/2016,403,139,8,3,5.389
64,06/10/2016,427,224,19,4,4.879
65,07/04/2017,296,76,23,2,4.27
66,09/11/2017,113,235,21,2,6.119
67,20/11/2016,88,298,14,1,3.519
68,31/03/2018,172,107,4,3,4.149
69,19/01/2016,368,76,11,3,2.789
70,19/12/2015,91,233,10,4,3.131
71,01/02/2015,38,43,20,3,5.119
72,02/03/2019,331,140,14,3,3.519
73,30/03/2020,174,258,9,4,2.319
74,24/01/2015,24,189,21,3,6.119
75,17/11/2018,116,217,23,3,4.27
76,28/01/2020,342,189,17,1,4.719
77,03/03/2020,174,99,3,2,4.269
78,11/03/2016,406,23,10,1,3.131
79,23/11/2016,433,155,23,2,4.27
80,31/07/2017,406,276,22,1,8.279
81,07/05/2018,346,40,15,1,6.219
82,12/03/2017,198,129,15,1,6.219
83,16/05/2017,198,13,7,4,2.919
84,25/04/2019,309,264,7,4,2.919
85,06/12/2020,352,179,7,3,2.919
86,07/10/2015,429,19,12,4,1.899
87,01/09/2020,345,252,22,2,8.279
88,28/11/2020,218,251,11,1,2.789
89,10/09/2020,282,83,16,2,5.109
90,14/08/2016,467,88,7,3,2.919
91,11/08/2019,86,192,9,2,2.319
92,17/12/2016,192,136,7,1,2.919
93,13/06/2017,407,4,23,3,4.27
94,01/01/2020,267,192,21,1,6.119
95,25/12/2016,162,42,21,3,6.119
96,24/02/2019,439,259,3,1,4.269
97,22/07/2019,255,195,6,3,1.589
98,15/01/2016,196,118,2,3,2.789
99,09/10/2019,211,76,14,2,3.519
100,20/04/2018,487,132,14,3,3.519
101,22/11/2020,409,37,14,4,3.519
102,02/04/2020,292,84,10,2,3.131
103,11/11/2020,307,53,13,4,3.279
104,05/11/2019,92,121,6,4,1.589
105,21/01/2016,69,239,8,4,5.389
106,11/08/2020,209,207,23,1,4.27
107,20/09/2017,82,281,21,3,6.119
108,29/07/2018,458,87,20,1,5.119
109,18/02/2020,442,43,3,1,4.269
110,16/10/2016,336,226,10,1,3.131
111,25/07/2015,152,47,8,3,5.389
112,13/12/2017,478,214,6,2,1.589
113,30/07/2019,476,185,22,4,8.279
114,04/01/2017,256,39,16,1,5.109
115,05/01/2019,2,120,19,4,4.879
116,04/05/2019,90,171,7,3,2.919
117,28/05/2015,83,130,18,3,4.561
118,10/01/2017,411,231,20,2,5.119
119,04/08/2016,77,274,20,4,5.119
120,31/12/2016,207,2,7,2,2.919
121,24/07/2018,330,258,17,3,4.719
122,03/04/2020,477,116,18,4,4.561
123,09/05/2020,41,174,3,4,4.269
124,21/12/2018,412,269,12,2,1.899
125,15/03/2016,118,153,3,3,4.269
126,30/04/2017,338,51,14,1,3.519
127,24/06/2018,465,207,13,3,3.279
128,08/02/2020,274,202,12,2,1.899
129,18/01/2019,386,269,10,4,3.131
130,31/03/2018,481,150,23,1,4.27
131,13/12/2018,469,250,16,3,5.109
132,04/09/2015,174,143,8,4,5.389
133,19/10/2017,18,253,10,2,3.131
